Sample, Data[Hex]
0, 0
12896517, 8
12896631, C
12896684, D
12923648, F
13424512, B
13424514, A
13424653, 0
13424671, 1
13424681, 5
13424683, 0
13424685, 4
13424687, 1
13424689, 5
13424691, 0
13424693, 4
13424694, 0
13424695, 1
13424696, 5
13424698, 1
13424700, 5
13424702, 1
13424704, 5
13424706, 1
13424708, 5
13424710, 0
13424723, 1
13424732, 5
13424734, 1
13424735, 0
13424736, 4
13424738, 1
13424740, 5
13424742, 0
13424744, 4
13424746, 1
13424748, 5
13424750, 0
13424752, 4
13424754, 1
13424756, 5
13424758, 0
13424760, 4
13424762, 0
13424862, 8
13424991, 0
13425019, 4
13425021, 0
13425023, 4
13425025, 1
13425026, 5
13425028, 1
13425029, 0
13425030, 4
13425032, 1
13425034, 5
13425036, 1
13425038, 5
13425040, 1
13425042, 5
13425044, 1
13425046, 5
13425048, 2
13425068, 6
13425070, 0
13425072, 4
13425074, 2
13425076, 6
13425078, 0
13425080, 4
13425082, 2
13425084, 6
13425086, 0
13425088, 4
13425090, 2
13425092, 6
13425094, 0
13425096, 4
13425098, 1
13425188, 9
13425364, 1
13425392, 5
13425394, 0
13425396, 4
13425398, 1
13425400, 5
13425401, 1
13425402, 0
13425403, 4
13425405, 0
13425406, 1
13425407, 5
13425409, 1
13425411, 5
13425413, 1
13425415, 5
13425417, 1
13425419, 5
13425421, 2
13425443, 6
13425445, 1
13425447, 5
13425449, 2
13425451, 6
13425453, 1
13425455, 5
13425457, 2
13425459, 6
13425461, 1
13425463, 5
13425465, 2
13425467, 6
13425469, 1
13425471, 5
13425473, 1
13425573, 9
13425702, 1
13425720, 0
13425730, 4
13425732, 0
13425734, 4
13425736, 1
13425737, 5
13425739, 1
13425740, 0
13425741, 4
13425743, 1
13425745, 5
13425747, 1
13425749, 5
13425751, 1
13425753, 5
13425755, 1
13425757, 5
13425759, 0
13425779, 4
13425781, 2
13425783, 6
13425785, 0
13425787, 4
13425789, 2
13425791, 6
13425793, 0
13425795, 4
13425797, 2
13425799, 6
13425801, 0
13425803, 4
13425805, 2
13425807, 6
13425809, 0
13425899, 8
13426062, 0
13426080, 1
13426090, 5
13426092, 0
13426094, 4
13426096, 0
13426098, 4
13426100, 0
13426102, 4
13426104, 0
13426106, 4
13426108, 0
13426110, 4
13426111, 0
13426113, 4
13426115, 0
13426116, 1
13426117, 5
13426119, 0
13426142, 4
13426144, 0
13426146, 4
13426147, 0
13426149, 4
13426151, 0
13426153, 4
13426155, 0
13426157, 4
13426159, 3
13426161, 7
13426163, 0
13426165, 4
13426167, 0
13426169, 4
13426171, 0
13426271, 8
13426414, 0
13426433, 1
13426443, 5
13426445, 0
13426447, 4
13426448, 0
13426450, 4
13426452, 0
13426454, 4
13426456, 0
13426458, 4
13426460, 0
13426462, 4
13426464, 1
13426466, 5
