Time [s],Packet ID,MOSI,MISO
3.080363625,,'175' (0xAF),'0' (0x00)
3.08036975,,'170' (0xAA),'0' (0x00)
3.080429,,/ (0x2F),'0' (0x00)
3.080434875,,'0' (0x00),'170' (0xAA)
3.08049825,,'175' (0xAF),'0' (0x00)
3.0805045,,U (0x55),'170' (0xAA)
3.080548125,,/ (0x2F),'0' (0x00)
3.080554,,'0' (0x00),U (0x55)
3.080617125,,'129' (0x81),'0' (0x00)
3.08062325,,'4' (0x04),'4' (0x04)
3.080668625,,'130' (0x82),'0' (0x00)
3.080674875,,'0' (0x00),'0' (0x00)
3.08072025,,'131' (0x83),'0' (0x00)
3.080726375,,'2' (0x02),'26' (0x1A)
3.080771875,,'132' (0x84),'0' (0x00)
3.080778,,@ (0x40),'11' (0x0B)
3.080823375,,'133' (0x85),'0' (0x00)
3.0808295,,'3' (0x03),'0' (0x00)
3.080875,,'134' (0x86),'0' (0x00)
3.080881125,,3 (0x33),R (0x52)
3.0809265,,'135' (0x87),'0' (0x00)
3.080932625,,l (0x6C),'228' (0xE4)
3.080978125,,'136' (0x88),'0' (0x00)
3.08098425,,@ (0x40),'192' (0xC0)
3.081029625,,'137' (0x89),'0' (0x00)
3.08103575,,'0' (0x00),'0' (0x00)
3.08108125,,'153' (0x99),'0' (0x00)
3.081087375,,B (0x42),'134' (0x86)
3.08113275,,'165' (0xA5),'0' (0x00)
3.081139,,@ (0x40),'0' (0x00)
3.081184375,,'166' (0xA6),'0' (0x00)
3.0811905,,'7' (0x07),'5' (0x05)
3.081235875,,'168' (0xA8),'0' (0x00)
3.081242125,,'16' (0x10),'0' (0x00)
3.0812875,,'169' (0xA9),'0' (0x00)
3.081293625,,'220' (0xDC),'255' (0xFF)
3.081339125,,'174' (0xAE),'0' (0x00)
3.08134525,,'136' (0x88),'152' (0x98)
3.081390625,,'175' (0xAF),'0' (0x00)
3.08139675,,- (0x2D),U (0x55)
3.08144225,,'176' (0xB0),'0' (0x00)
3.081448375,,d (0x64),'0' (0x00)
3.08149375,,'183' (0xB7),'0' (0x00)
3.081499875,,'144' (0x90),'16' (0x10)
3.081545375,,'184' (0xB8),'0' (0x00)
3.0815515,,B (0x42),@ (0x40)
3.081596875,,'188' (0xBC),'0' (0x00)
3.081603125,,'143' (0x8F),'15' (0x0F)
3.0816485,,'189' (0xBD),'0' (0x00)
3.081654625,,'18' (0x12),'2' (0x02)
3.0817,,'239' (0xEF),'0' (0x00)
3.08170625,,0 (0x30),'0' (0x00)
3.081755125,,= (0x3D),'0' (0x00)
3.081761,,'0' (0x00),'18' (0x12)
3.081806,,'189' (0xBD),'0' (0x00)
3.081812125,,'18' (0x12),'18' (0x12)
3.08185825,,'147' (0x93),'0' (0x00)
3.081864375,,'26' (0x1A),'26' (0x1A)
3.0819095,,'145' (0x91),'0' (0x00)
3.081915625,,'159' (0x9F),'159' (0x9F)
3.0819655,,' (0x27),'0' (0x00)
3.0819715,,'0' (0x00),'128' (0x80)
3.082171375,,'17' (0x11),'0' (0x00)
3.08217725,,'0' (0x00),'159' (0x9F)
3.082238375,,'145' (0x91),'0' (0x00)
3.0822445,,'157' (0x9D),'159' (0x9F)
3.082474875,,= (0x3D),'0' (0x00)
3.08248075,,'0' (0x00),'18' (0x12)
3.082541125,,'189' (0xBD),'0' (0x00)
3.08254725,,'22' (0x16),'18' (0x12)
3.082623125,,( (0x28),'0' (0x00)
3.082629,,'0' (0x00),'0' (0x00)
3.082689625,,'165' (0xA5),'0' (0x00)
3.08269575,,@ (0x40),@ (0x40)
3.082743875,,'1' (0x01),'0' (0x00)
3.08274975,,'0' (0x00),'4' (0x04)
3.08281025,,'129' (0x81),'0' (0x00)
3.082816375,,'16' (0x10),'4' (0x04)
3.08288125,,$ (0x24),'0' (0x00)
3.082887125,,'0' (0x00),'255' (0xFF)
3.082936875,,'1' (0x01),'0' (0x00)
