Time[s], Data[Hex]
0, 0
1.606724625, 8
1.607350625, 9
1.61127475, B
1.6757145, F
1.776593375, B
3.080360875, 1
3.080363625, 5
3.080363875, 0
3.080364125, 4
3.080364375, 1
3.080364625, 5
3.080364875, 0
3.080365125, 4
3.080365375, 1
3.080365625, 5
3.080365875, 1
3.080366125, 5
3.080366375, 1
3.080366625, 5
3.080366875, 1
3.080367125, 5
3.080367375, 1
3.08036975, 5
3.08037, 0
3.08037025, 4
3.0803705, 0
3.080370625, 1
3.080370875, 5
3.080371125, 0
3.080371375, 4
3.080371625, 1
3.080371875, 5
3.080372125, 0
3.080372375, 4
3.080372625, 1
3.080372875, 5
3.080373125, 0
3.080373375, 4
3.080373625, 1
3.080389, 9
3.08042625, 1
3.08042875, 0
3.080429, 4
3.08042925, 0
3.0804295, 4
3.08042975, 1
3.08043, 5
3.08043025, 0
3.0804305, 4
3.08043075, 1
3.080431, 5
3.08043125, 1
3.0804315, 5
3.08043175, 1
3.080432, 5
3.08043225, 1
3.0804325, 5
3.08043275, 1
3.080432875, 3
3.080434625, 2
3.080434875, 6
3.080435125, 2
3.08043525, 0
3.080435375, 4
3.080435625, 0
3.08043575, 2
3.080435875, 6
3.080436125, 2
3.08043625, 0
3.080436375, 4
3.080436625, 0
3.08043675, 2
3.080436875, 6
3.080437125, 2
3.08043725, 0
3.0804375, 4
3.08043775, 2
3.080438, 6
3.08043825, 0
3.0804385, 4
3.08043875, 1
3.080452875, 9
3.0804955, 1
3.08049825, 5
3.0804985, 0
3.08049875, 4
3.080499, 1
3.08049925, 5
3.0804995, 0
3.08049975, 4
3.0805, 1
3.08050025, 5
3.0805005, 1
3.08050075, 5
3.080501, 1
3.08050125, 5
3.0805015, 1
3.08050175, 5
3.080502, 1
3.080502125, 3
3.080504125, 2
3.0805045, 6
3.08050475, 1
3.080505, 5
3.08050525, 2
3.0805055, 6
3.08050575, 1
3.080506, 5
3.08050625, 2
3.0805065, 6
3.08050675, 1
3.080507, 5
3.08050725, 2
3.0805075, 6
3.08050775, 1
3.080508, 5
3.08050825, 1
3.080523625, 9
3.080545375, 1
3.080547875, 0
3.080548125, 4
3.080548375, 0
3.080548625, 4
3.080548875, 1
3.080549125, 5
3.080549375, 0
3.080549625, 4
3.080549875, 1
3.080550125, 5
3.080550375, 1
3.080550625, 5
3.080550875, 1
3.080551125, 5
3.080551375, 1
3.080551625, 5
3.080551875, 1
3.08055375, 0
3.080554, 4
3.08055425, 2
3.0805545, 6
3.08055475, 0
3.080555, 4
3.08055525, 2
3.0805555, 6
3.08055575, 0
3.080556, 4
3.08055625, 2
3.0805565, 6
3.08055675, 0
3.080557, 4
3.08055725, 2
3.0805575, 6
3.08055775, 1
3.080572, 9
3.080614375, 1
3.080617125, 5
3.080617375, 0
3.080617625, 4
3.080617875, 0
3.080618125, 4
3.080618375, 0
3.080618625, 4
3.080618875, 0
3.080619125, 4
3.080619375, 0
3.080619625, 4
3.080619875, 0
3.080620125, 4
3.080620375, 1
3.080620625, 5
3.080620875, 1
3.080623, 0
3.08062325, 4
3.0806235, 0
3.08062375, 4
3.080624, 0
3.08062425, 4
3.0806245, 0
3.08062475, 4
3.080625, 0
3.08062525, 4
3.0806255, 3
3.08062575, 7
3.080626, 0
3.08062625, 4
3.0806265, 0
3.08062675, 4
3.080627, 1
3.0806425, 9
3.080665875, 1
3.080668625, 5
3.080668875, 0
3.080669125, 4
3.080669375, 0
3.080669625, 4
3.080669875, 0
3.080670125, 4
3.0806705, 0
3.08067075, 4
3.080671, 0
3.08067125, 4
3.0806715, 1
3.08067175, 5
3.080672, 0
3.08067225, 4
3.0806725, 1
3.080674625, 0
3.080674875, 4
3.080675125, 0
3.080675375, 4
3.080675625, 0
3.080675875, 4
3.080676125, 0
3.080676375, 4
3.080676625, 0
3.080676875, 4
3.080677125, 0
3.080677375, 4
3.080677625, 0
3.080677875, 4
3.080678125, 0
3.080678375, 4
3.080678625, 1
3.080694, 9
3.0807175, 1
3.08072025, 5
3.0807205, 0
3.08072075, 4
3.080721, 0
3.08072125, 4
3.0807215, 0
3.08072175, 4
3.080722, 0
3.08072225, 4
3.0807225, 0
3.08072275, 4
3.080723, 1
3.08072325, 5
3.0807235, 1
3.08072375, 5
3.080724, 1
3.080726125, 0
3.080726375, 4
3.080726625, 0
3.080726875, 4
3.080727125, 0
3.080727375, 4
3.080727625, 2
3.080727875, 6
3.080728125, 2
3.080728375, 6
3.080728625, 0
3.080728875, 4
3.080729125, 3
3.080729375, 7
3.080729625, 0
3.080729875, 4
3.080730125, 1
3.080745625, 9
3.080769, 1
3.080771875, 5
3.080772125, 0
3.080772375, 4
3.080772625, 0
3.080772875, 4
3.080773125, 0
3.080773375, 4
3.080773625, 0
3.080773875, 4
3.080774125, 1
3.080774375, 5
3.080774625, 0
3.080774875, 4
3.080775125, 0
3.080775375, 4
3.080775625, 1
3.08077775, 0
3.080778, 4
3.08077825, 1
3.0807785, 5
3.08077875, 0
3.080779, 4
3.08077925, 0
3.0807795, 4
3.08077975, 2
3.08078, 6
3.08078025, 0
3.0807805, 4
3.08078075, 2
3.080781, 6
3.08078125, 2
3.0807815, 6
3.08078175, 1
3.080797125, 9
3.080820625, 1
3.080823375, 5
3.080823625, 0
3.080823875, 4
3.080824125, 0
3.080824375, 4
3.080824625, 0
3.080824875, 4
3.080825125, 0
