Time [s],Packet ID,MOSI,MISO
1.415560125,0,'175' (0xAF),'0' (0x00)
1.4155665,0,'170' (0xAA),'0' (0x00)
1.415602375,1,/ (0x2F),'0' (0x00)
1.415608625,1,'0' (0x00),'170' (0xAA)
1.415649,2,'175' (0xAF),'0' (0x00)
1.4156555,2,U (0x55),'170' (0xAA)
1.41569125,3,/ (0x2F),'0' (0x00)
1.4156975,3,'0' (0x00),U (0x55)
1.415736375,4,'129' (0x81),'0' (0x00)
1.415742875,4,'4' (0x04),'4' (0x04)
1.4157805,5,'130' (0x82),'0' (0x00)
1.415786875,5,'0' (0x00),'0' (0x00)
1.415824625,6,'131' (0x83),'0' (0x00)
1.415831,6,'2' (0x02),'26' (0x1A)
1.415868625,7,'132' (0x84),'0' (0x00)
1.415875125,7,@ (0x40),'11' (0x0B)
1.41591275,8,'133' (0x85),'0' (0x00)
1.41591925,8,'3' (0x03),'0' (0x00)
1.415956875,9,'134' (0x86),'0' (0x00)
1.415963375,9,3 (0x33),R (0x52)
1.416001,10,'135' (0x87),'0' (0x00)
1.416007375,10,l (0x6C),'228' (0xE4)
1.416045125,11,'136' (0x88),'0' (0x00)
1.4160515,11,@ (0x40),'192' (0xC0)
1.416089125,12,'137' (0x89),'0' (0x00)
1.416095625,12,'0' (0x00),'0' (0x00)
1.41613325,13,'153' (0x99),'0' (0x00)
1.41613975,13,B (0x42),'134' (0x86)
1.416177375,14,'165' (0xA5),'0' (0x00)
1.41618375,14,@ (0x40),'0' (0x00)
1.4162215,15,'166' (0xA6),'0' (0x00)
1.416227875,15,'7' (0x07),'5' (0x05)
1.416265625,16,'168' (0xA8),'0' (0x00)
1.416272,16,'16' (0x10),'0' (0x00)
1.416309625,17,'169' (0xA9),'0' (0x00)
1.416316125,17,'220' (0xDC),'255' (0xFF)
1.41635375,18,'174' (0xAE),'0' (0x00)
1.41636025,18,'136' (0x88),'152' (0x98)
1.416397875,19,'175' (0xAF),'0' (0x00)
1.416404375,19,- (0x2D),U (0x55)
1.416442,20,'183' (0xB7),'0' (0x00)
1.4164485,20,'144' (0x90),'16' (0x10)
1.416486125,21,'184' (0xB8),'0' (0x00)
1.416492625,21,B (0x42),@ (0x40)
1.41653025,22,'188' (0xBC),'0' (0x00)
1.416536625,22,'143' (0x8F),'15' (0x0F)
1.416574375,23,'189' (0xBD),'0' (0x00)
1.41658075,23,'18' (0x12),'2' (0x02)
1.4166185,24,'239' (0xEF),'0' (0x00)
1.416624875,24,0 (0x30),'0' (0x00)
1.41666825,25,' (0x27),'0' (0x00)
1.4166745,25,'0' (0x00),'128' (0x80)
1.41671475,26,'176' (0xB0),'0' (0x00)
1.416721125,26,d (0x64),'0' (0x00)
1.416770625,27,= (0x3D),'0' (0x00)
1.416776875,27,'0' (0x00),'18' (0x12)
1.416813875,28,'189' (0xBD),'0' (0x00)
1.416820375,28,'22' (0x16),'18' (0x12)
1.416872,29,( (0x28),'0' (0x00)
1.41687825,29,'0' (0x00),'0' (0x00)
1.4169155,30,'165' (0xA5),'0' (0x00)
1.416922,30,@ (0x40),@ (0x40)
1.416961125,31,'1' (0x01),'0' (0x00)
1.41696725,31,'0' (0x00),'4' (0x04)
1.4170045,32,'129' (0x81),'0' (0x00)
1.417010875,32,'16' (0x10),'4' (0x04)
1.4170515,33,$ (0x24),'0' (0x00)
1.41705775,33,'0' (0x00),'255' (0xFF)
1.417098125,34,'1' (0x01),'0' (0x00)
1.417104375,34,'0' (0x00),'16' (0x10)
1.4171415,35,'129' (0x81),'0' (0x00)
1.417148,35,'4' (0x04),'16' (0x10)
1.417197625,36,' (0x27),'0' (0x00)
1.41720375,36,'0' (0x00),'128' (0x80)
1.417241,37,'165' (0xA5),'0' (0x00)
1.417247375,37,'0' (0x00),@ (0x40)
1.417281375,38,'128' (0x80),'0' (0x00)
1.41728775,38,\t (0x09),'0' (0x00)
1.417294,38,'1' (0x01),\t (0x09)
1.417300375,38,7 (0x37),\t (0x09)
1.4173065,38,@ (0x40),\t (0x09)
1.417314,38,S (0x53),\t (0x09)
1.41732125,38,T (0x54),\t (0x09)
1.417328625,38,A (0x41),\t (0x09)
1.417335875,38,R (0x52),\t (0x09)
1.41734325,38,T (0x54),\t (0x09)
1.4173505,38,'0' (0x00),\t (0x09)
1.417388625,39,'1' (0x01),\t (0x09)
1.417394875,39,'0' (0x00),'4' (0x04)
1.417432,40,'129' (0x81),\t (0x09)
1.4174385,40,'12' (0x0C),'4' (0x04)
1.420032625,41,o (0x6F),'0' (0x00)
1.420038875,41,'0' (0x00),0 (0x30)
1.420075375,42,$ (0x24),'0' (0x00)
1.420081625,42,'0' (0x00),'255' (0xFF)
2.3923495,43,'1' (0x01),'0' (0x00)
2.39235575,43,'0' (0x00),'12' (0x0C)
2.392393,44,'129' (0x81),'0' (0x00)
2.392399375,44,'4' (0x04),'12' (0x0C)
2.3924535,45,( (0x28),\t (0x09)
2.39245975,45,'0' (0x00),'0' (0x00)
2.392497,46,'165' (0xA5),\t (0x09)
2.3925035,46,@ (0x40),'0' (0x00)
2.392542625,47,'1' (0x01),\t (0x09)
2.39254875,47,'0' (0x00),'4' (0x04)
2.392586,48,'129' (0x81),\t (0x09)
2.392592375,48,'16' (0x10),'4' (0x04)
2.42984775,49,( (0x28),'3' (0x03)
2.429853875,49,'0' (0x00),F (0x46)
2.429893875,50,'1' (0x01),'3' (0x03)
2.429900125,50,'0' (0x00),'16' (0x10)
2.42993725,51,'129' (0x81),'3' (0x03)
2.42994375,51,'4' (0x04),'16' (0x10)
2.429978625,52,'0' (0x00),'3' (0x03)
2.42998475,52,'0' (0x00),'3' (0x03)
2.42999225,52,'0' (0x00),7 (0x37)
2.430001375,52,'0' (0x00),'1' (0x01)
2.430007875,52,'0' (0x00),'128' (0x80)
